followers_count,following_count,follower_following_ratio,account_age_days,statuses_count,posts_per_day,content_density,tweets_per_day,engagement_proxy,followers_log,following_log,ratio_log,activity_score,growth_signal,has_profile_image,verified,bio_length,username_randomness_score,username_length,label
431.0,679.0,0.6338235294117647,2455.0,200.0,0.2059447983014862,0.0,0.08241146381458185,32.17131474103586,6.068425588244111,6.522092798170152,0.8067469720288927,0.08241146381458185,0.16083315486587435,1,0,180.0,1.0,6,0
426.0,729.0,0.5835616438356165,3164.0,202.0,0.063823064770932,0.0638432364096081,0.06382306477093207,27.18862559241706,6.056784013228625,6.593044534142437,0.7976752916427721,0.06382306477093207,0.13459715639810427,1,1,214.0,1.0,9,1
426.0,721.0,0.590027700831025,903.0,225.0,0.2488938053097345,0.24916943521594684,0.2488938053097345,106.0287610619469,6.056784013228625,6.582025138892826,0.798834599236514,0.2488938053097345,0.47123893805309736,1,0,87.0,1.0,10,1
385.0,701.0,0.5661764705882353,3433.0,175.0,0.0509609784507862,0.050975822895426744,0.05096097845078625,19.61997670355271,5.955837369464831,6.553933404025811,0.7936081749571388,0.05096097845078625,0.11211415259172976,0,1,72.0,0.0,3,0
392.0,709.0,0.5521126760563381,2455.0,207.0,0.1629921259842519,0.0,0.08241146381458185,32.17131474103586,5.973809611869261,6.565264970035361,0.7896365342827296,0.08241146381458185,0.16083315486587435,0,1,162.0,1.0,6,0
400.0,701.0,0.5455820476858345,24.0,198.0,7.92,8.25,7.92,32.17131474103586,5.993961427306569,6.553933404025811,0.7936081749571388,7.92,0.16083315486587435,0,1,178.0,0.0,8,0
378.0,678.0,0.5567010309278351,4653.0,186.0,0.0399656209712075,0.039974210186976146,0.039965620971207566,15.10700472711646,5.937536205082426,6.520621127558696,0.7895007745204468,0.039965620971207566,0.0812204555221315,1,0,211.0,0.0,6,0
400.0,701.0,0.5833333333333334,2749.0,241.0,0.0808080808080808,0.08766824299745361,0.08763636363636364,32.17131474103586,5.993961427306569,6.553933404025811,0.7936081749571388,0.08763636363636364,0.16083315486587435,1,0,36.0,0.0,9,1
424.0,701.0,0.5816186556927297,2451.0,200.0,0.0815660685154975,0.08159934720522236,0.08156606851549755,34.58401305057096,6.052089168924417,6.553933404025811,0.7936081749571388,0.08156606851549755,0.1729200652528548,1,1,233.0,1.0,8,0
398.0,683.0,0.5818713450292398,1397.0,202.0,0.1444921316165951,0.14459556191839656,0.14449213161659513,57.50786838340486,5.988961416889864,6.52795791762255,0.7955625526107183,0.14449213161659513,0.28469241773962806,1,1,208.0,0.0,10,1
408.0,664.0,0.6135338345864662,3358.0,200.0,0.0808080808080808,0.0,0.08241146381458185,32.17131474103586,6.013715156042802,6.499787040655854,0.801851455707055,0.08241146381458185,0.12146472164334624,1,0,238.0,1.0,10,0
366.0,729.0,0.5013698630136987,2455.0,193.0,0.0494111623143881,0.0,0.08241146381458185,32.17131474103586,5.905361848054571,6.593044534142437,0.7777330715631745,0.08241146381458185,0.16083315486587435,1,1,222.0,1.0,11,1
400.0,701.0,0.6052631578947368,2489.0,200.0,0.0815261044176706,0.0,0.08241146381458185,32.17131474103586,5.993961427306569,6.553933404025811,0.7936081749571388,0.08241146381458185,0.16083315486587435,1,1,118.0,0.0,9,1
